Indicator,Group,State,Subgroup,Time Period,Time Period Start Date,Time Period End Date,Value
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Dakota,North Dakota,14,2020-09-02,2020-09-14,7.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Ohio,Ohio,14,2020-09-02,2020-09-14,8.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oklahoma,Oklahoma,14,2020-09-02,2020-09-14,9.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oregon,Oregon,14,2020-09-02,2020-09-14,13.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,14,2020-09-02,2020-09-14,8.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Rhode Island,Rhode Island,14,2020-09-02,2020-09-14,8.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Carolina,South Carolina,14,2020-09-02,2020-09-14,8.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Dakota,South Dakota,14,2020-09-02,2020-09-14,6.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Tennessee,Tennessee,14,2020-09-02,2020-09-14,9.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Texas,Texas,14,2020-09-02,2020-09-14,10.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Utah,Utah,14,2020-09-02,2020-09-14,11.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Vermont,Vermont,14,2020-09-02,2020-09-14,9.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Virginia,Virginia,14,2020-09-02,2020-09-14,8.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Washington,Washington,14,2020-09-02,2020-09-14,11.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,West Virginia,West Virginia,14,2020-09-02,2020-09-14,7.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wisconsin,Wisconsin,14,2020-09-02,2020-09-14,6.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wyoming,Wyoming,14,2020-09-02,2020-09-14,8.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,15,2020-09-16,2020-09-28,19.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,15,2020-09-16,2020-09-28,19.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,15,2020-09-16,2020-09-28,20.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,15,2020-09-16,2020-09-28,20.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,15,2020-09-16,2020-09-28,21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,15,2020-09-16,2020-09-28,21.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,15,2020-09-16,2020-09-28,16.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,15,2020-09-16,2020-09-28,13.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender,United States,Male,15,2020-09-16,2020-09-28,14.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender,United States,Female,15,2020-09-16,2020-09-28,24.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,15,2020-09-16,2020-09-28,11.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,15,2020-09-16,2020-09-28,33.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,15,2020-09-16,2020-09-28,16.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",15,2020-09-16,2020-09-28,22.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",15,2020-09-16,2020-09-28,13.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",15,2020-09-16,2020-09-28,8.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",15,2020-09-16,2020-09-28,20.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,15,2020-09-16,2020-09-28,18.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,15,2020-09-16,2020-09-28,17.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,15,2020-09-16,2020-09-28,22.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,15,2020-09-16,2020-09-28,19.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,15,2020-09-16,2020-09-28,25.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,15,2020-09-16,2020-09-28,17.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,Arizona,15,2020-09-16,2020-09-28,19.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,15,2020-09-16,2020-09-28,20.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,15,2020-09-16,2020-09-28,16.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,15,2020-09-16,2020-09-28,21.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,15,2020-09-16,2020-09-28,22.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,15,2020-09-16,2020-09-28,18.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,15,2020-09-16,2020-09-28,19.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,15,2020-09-16,2020-09-28,19.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,15,2020-09-16,2020-09-28,19.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,15,2020-09-16,2020-09-28,10.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,Idaho,15,2020-09-16,2020-09-28,21.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,Illinois,15,2020-09-16,2020-09-28,19.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,15,2020-09-16,2020-09-28,22.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,15,2020-09-16,2020-09-28,22.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,15,2020-09-16,2020-09-28,25.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,15,2020-09-16,2020-09-28,25.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,15,2020-09-16,2020-09-28,23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,Maine,15,2020-09-16,2020-09-28,21.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,15,2020-09-16,2020-09-28,18.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,Massachusetts,15,2020-09-16,2020-09-28,22.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,Michigan,15,2020-09-16,2020-09-28,19.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,Minnesota,15,2020-09-16,2020-09-28,22.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,15,2020-09-16,2020-09-28,19.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,15,2020-09-16,2020-09-28,23.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,15,2020-09-16,2020-09-28,25.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,Nebraska,15,2020-09-16,2020-09-28,19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,15,2020-09-16,2020-09-28,17.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,15,2020-09-16,2020-09-28,21.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,15,2020-09-16,2020-09-28,17.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,15,2020-09-16,2020-09-28,22.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,15,2020-09-16,2020-09-28,15.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,15,2020-09-16,2020-09-28,20.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,15,2020-09-16,2020-09-28,22.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,Ohio,15,2020-09-16,2020-09-28,21.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,15,2020-09-16,2020-09-28,20.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,15,2020-09-16,2020-09-28,18.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,15,2020-09-16,2020-09-28,22.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,15,2020-09-16,2020-09-28,22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,15,2020-09-16,2020-09-28,21.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,15,2020-09-16,2020-09-28,21.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,15,2020-09-16,2020-09-28,24.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,15,2020-09-16,2020-09-28,18.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,15,2020-09-16,2020-09-28,24.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,15,2020-09-16,2020-09-28,24.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,15,2020-09-16,2020-09-28,19.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,15,2020-09-16,2020-09-28,20.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,West Virginia,15,2020-09-16,2020-09-28,23.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,15,2020-09-16,2020-09-28,18.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,15,2020-09-16,2020-09-28,22.3
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,15,2020-09-16,2020-09-28,9.0
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,15,2020-09-16,2020-09-28,12.1
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,15,2020-09-16,2020-09-28,12.8
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,15,2020-09-16,2020-09-28,10.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,15,2020-09-16,2020-09-28,7.9
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,15,2020-09-16,2020-09-28,6.2
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,15,2020-09-16,2020-09-28,3.8
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,15,2020-09-16,2020-09-28,3.6
"Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Male,15,2020-09-16,2020-09-28,6.9
"Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Female,15,2020-09-16,2020-09-28,11.0
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,15,2020-09-16,2020-09-28,4.7
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,15,2020-09-16,2020-09-28,16.4
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,15,2020-09-16,2020-09-28,8.7
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",15,2020-09-16,2020-09-28,9.5
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",15,2020-09-16,2020-09-28,8.1
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",15,2020-09-16,2020-09-28,5.2
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",15,2020-09-16,2020-09-28,10.5
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,15,2020-09-16,2020-09-28,8.5
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,15,2020-09-16,2020-09-28,5.8
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,15,2020-09-16,2020-09-28,9.9
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,15,2020-09-16,2020-09-28,11.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,15,2020-09-16,2020-09-28,7.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,15,2020-09-16,2020-09-28,8.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,15,2020-09-16,2020-09-28,8.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,15,2020-09-16,2020-09-28,5.5
"Received Counseling or Therapy, Last 4 Weeks",By State,California,California,15,2020-09-16,2020-09-28,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,15,2020-09-16,2020-09-28,12.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,15,2020-09-16,2020-09-28,10.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,15,2020-09-16,2020-09-28,8.6
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,15,2020-09-16,2020-09-28,15.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,15,2020-09-16,2020-09-28,8.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,15,2020-09-16,2020-09-28,7.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,15,2020-09-16,2020-09-28,6.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,15,2020-09-16,2020-09-28,7.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,15,2020-09-16,2020-09-28,10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,15,2020-09-16,2020-09-28,8.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,15,2020-09-16,2020-09-28,6.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,15,2020-09-16,2020-09-28,9.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,15,2020-09-16,2020-09-28,9.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,15,2020-09-16,2020-09-28,9.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,15,2020-09-16,2020-09-28,10.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,15,2020-09-16,2020-09-28,11.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,15,2020-09-16,2020-09-28,13.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,15,2020-09-16,2020-09-28,8.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,15,2020-09-16,2020-09-28,10.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,15,2020-09-16,2020-09-28,6.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,15,2020-09-16,2020-09-28,7.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,15,2020-09-16,2020-09-28,7.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,15,2020-09-16,2020-09-28,7.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,15,2020-09-16,2020-09-28,8.5
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,15,2020-09-16,2020-09-28,9.9
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,15,2020-09-16,2020-09-28,7.9
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,15,2020-09-16,2020-09-28,10.8
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,15,2020-09-16,2020-09-28,10.1
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,15,2020-09-16,2020-09-28,8.1
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,15,2020-09-16,2020-09-28,5.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,15,2020-09-16,2020-09-28,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,15,2020-09-16,2020-09-28,6.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,15,2020-09-16,2020-09-28,10.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,15,2020-09-16,2020-09-28,10.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,15,2020-09-16,2020-09-28,7.9
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,15,2020-09-16,2020-09-28,8.0
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,15,2020-09-16,2020-09-28,5.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,15,2020-09-16,2020-09-28,8.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,15,2020-09-16,2020-09-28,8.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,15,2020-09-16,2020-09-28,10.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,15,2020-09-16,2020-09-28,13.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,15,2020-09-16,2020-09-28,10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,15,2020-09-16,2020-09-28,8.8
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,15,2020-09-16,2020-09-28,7.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,15,2020-09-16,2020-09-28,7.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,15,2020-09-16,2020-09-28,7.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,15,2020-09-16,2020-09-28,22.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,15,2020-09-16,2020-09-28,23.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,15,2020-09-16,2020-09-28,24.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,15,2020-09-16,2020-09-28,24.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,15,2020-09-16,2020-09-28,23.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,15,2020-09-16,2020-09-28,22.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,15,2020-09-16,2020-09-28,17.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,15,2020-09-16,2020-09-28,14.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Male,15,2020-09-16,2020-09-28,17.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Female,15,2020-09-16,2020-09-28,28.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,15,2020-09-16,2020-09-28,13.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,15,2020-09-16,2020-09-28,38.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,15,2020-09-16,2020-09-28,19.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",15,2020-09-16,2020-09-28,25.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",15,2020-09-16,2020-09-28,16.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",15,2020-09-16,2020-09-28,11.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",15,2020-09-16,2020-09-28,23.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,15,2020-09-16,2020-09-28,19.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,15,2020-09-16,2020-09-28,19.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,15,2020-09-16,2020-09-28,25.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,15,2020-09-16,2020-09-28,24.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,15,2020-09-16,2020-09-28,27.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,15,2020-09-16,2020-09-28,20.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,15,2020-09-16,2020-09-28,21.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,15,2020-09-16,2020-09-28,22.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,California,California,15,2020-09-16,2020-09-28,19.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,15,2020-09-16,2020-09-28,27.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,15,2020-09-16,2020-09-28,26.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,15,2020-09-16,2020-09-28,22.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,15,2020-09-16,2020-09-28,26.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,15,2020-09-16,2020-09-28,22.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,15,2020-09-16,2020-09-28,21.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,15,2020-09-16,2020-09-28,13.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,15,2020-09-16,2020-09-28,23.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,15,2020-09-16,2020-09-28,22.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,15,2020-09-16,2020-09-28,23.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,15,2020-09-16,2020-09-28,25.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,15,2020-09-16,2020-09-28,27.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,15,2020-09-16,2020-09-28,28.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,15,2020-09-16,2020-09-28,26.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,15,2020-09-16,2020-09-28,24.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,15,2020-09-16,2020-09-28,21.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,15,2020-09-16,2020-09-28,27.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,15,2020-09-16,2020-09-28,23.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,15,2020-09-16,2020-09-28,25.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,15,2020-09-16,2020-09-28,21.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,15,2020-09-16,2020-09-28,25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,15,2020-09-16,2020-09-28,28.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,15,2020-09-16,2020-09-28,22.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,15,2020-09-16,2020-09-28,20.3
